GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G0100010","1940","Alabama","010","Autauga","0010","Autauga",16
"G0100030","1940","Alabama","010","Baldwin","0030","Baldwin",33
"G0100050","1940","Alabama","010","Barbour","0050","Barbour",13
"G0100070","1940","Alabama","010","Bibb","0070","Bibb",15
"G0100090","1940","Alabama","010","Blount","0090","Blount",23
"G0100110","1940","Alabama","010","Bullock","0110","Bullock",12
"G0100130","1940","Alabama","010","Butler","0130","Butler",17
"G0100150","1940","Alabama","010","Calhoun","0150","Calhoun",24
"G0100170","1940","Alabama","010","Chambers","0170","Chambers",17
"G0100190","1940","Alabama","010","Cherokee","0190","Cherokee",25
"G0100210","1940","Alabama","010","Chilton","0210","Chilton",21
"G0100230","1940","Alabama","010","Choctaw","0230","Choctaw",12
"G0100250","1940","Alabama","010","Clarke","0250","Clarke",12
"G0100270","1940","Alabama","010","Clay","0270","Clay",14
"G0100290","1940","Alabama","010","Cleburne","0290","Cleburne",12
"G0100310","1940","Alabama","010","Coffee","0310","Coffee",21
"G0100330","1940","Alabama","010","Colbert","0330","Colbert",32
"G0100350","1940","Alabama","010","Conecuh","0350","Conecuh",19
"G0100370","1940","Alabama","010","Coosa","0370","Coosa",10
"G0100390","1940","Alabama","010","Covington","0390","Covington",20
"G0100410","1940","Alabama","010","Crenshaw","0410","Crenshaw",17
"G0100430","1940","Alabama","010","Cullman","0430","Cullman",31
"G0100450","1940","Alabama","010","Dale","0450","Dale",16
"G0100470","1940","Alabama","010","Dallas","0470","Dallas",22
"G0100490","1940","Alabama","010","DeKalb","0490","Dekalb",30
"G0100510","1940","Alabama","010","Elmore","0510","Elmore",28
"G0100530","1940","Alabama","010","Escambia","0530","Escambia",32
"G0100550","1940","Alabama","010","Etowah","0550","Etowah",30
"G0100570","1940","Alabama","010","Fayette","0570","Fayette",13
"G0100590","1940","Alabama","010","Franklin","0590","Franklin",17
"G0100610","1940","Alabama","010","Geneva","0610","Geneva",30
"G0100630","1940","Alabama","010","Greene","0630","Greene",16
"G0100650","1940","Alabama","010","Hale","0650","Hale",22
"G0100670","1940","Alabama","010","Henry","0670","Henry",22
"G0100690","1940","Alabama","010","Houston","0690","Houston",34
