GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G0100010","1910","Alabama","010","Autauga","0010","Autauga",12
"G0100030","1910","Alabama","010","Baldwin","0030","Baldwin",22
"G0100050","1910","Alabama","010","Barbour","0050","Barbour",11
"G0100070","1910","Alabama","010","Bibb","0070","Bibb",14
"G0100090","1910","Alabama","010","Blount","0090","Blount",11
"G0100110","1910","Alabama","010","Bullock","0110","Bullock",14
"G0100130","1910","Alabama","010","Butler","0130","Butler",13
"G0100150","1910","Alabama","010","Calhoun","0150","Calhoun",16
"G0100170","1910","Alabama","010","Chambers","0170","Chambers",19
"G0100190","1910","Alabama","010","Cherokee","0190","Cherokee",14
"G0100210","1910","Alabama","010","Chilton","0210","Chilton",13
"G0100230","1910","Alabama","010","Choctaw","0230","Choctaw",8
"G0100250","1910","Alabama","010","Clarke","0250","Clarke",8
"G0100270","1910","Alabama","010","Clay","0270","Clay",12
"G0100290","1910","Alabama","010","Cleburne","0290","Cleburne",9
"G0100310","1910","Alabama","010","Coffee","0310","Coffee",14
"G0100330","1910","Alabama","010","Colbert","0330","Colbert",15
"G0100350","1910","Alabama","010","Conecuh","0350","Conecuh",16
"G0100370","1910","Alabama","010","Coosa","0370","Coosa",8
"G0100390","1910","Alabama","010","Covington","0390","Covington",14
"G0100410","1910","Alabama","010","Crenshaw","0410","Crenshaw",13
"G0100430","1910","Alabama","010","Cullman","0430","Cullman",14
"G0100450","1910","Alabama","010","Dale","0450","Dale",11
"G0100470","1910","Alabama","010","Dallas","0470","Dallas",16
"G0100490","1910","Alabama","010","DeKalb","0490","Dekalb",13
"G0100510","1910","Alabama","010","Elmore","0510","Elmore",12
"G0100530","1910","Alabama","010","Escambia","0530","Escambia",16
"G0100550","1910","Alabama","010","Etowah","0550","Etowah",15
"G0100570","1910","Alabama","010","Fayette","0570","Fayette",8
"G0100590","1910","Alabama","010","Franklin","0590","Franklin",10
"G0100610","1910","Alabama","010","Geneva","0610","Geneva",16
"G0100630","1910","Alabama","010","Greene","0630","Greene",13
"G0100650","1910","Alabama","010","Hale","0650","Hale",17
"G0100670","1910","Alabama","010","Henry","0670","Henry",12
"G0100690","1910","Alabama","010","Houston","0690","Houston",17
"G0100710","1910","Alabama","010","Jackson","0710","Jackson",12
"G0100730","1910","Alabama","010","Jefferson","0730","Jefferson",52
"G0100750","1910","Alabama","010","Lamar","0750","Lamar",9
"G0100770","1910","Alabama","010","Lauderdale","0770","Lauderdale",15
"G0100790","1910","Alabama","010","Lawrence","0790","Lawrence",13
"G0100810","1910","Alabama","010","Lee","0810","Lee",15
"G0100830","1910","Alabama","010","Limestone","0830","Limestone",20
"G0100850","1910","Alabama","010","Lowndes","0850","Lowndes",15
"G0100870","1910","Alabama","010","Macon","0870","Macon",17
"G0100890","1910","Alabama","010","Madison","0890","Madison",21
"G0100910","1910","Alabama","010","Marengo","0910","Marengo",12
"G0100930","1910","Alabama","010","Marion","0930","Marion",8
"G0100950","1910","Alabama","010","Marshall","0950","Marshall",16
"G0100970","1910","Alabama","010","Mobile","0970","Mobile",22
"G0100990","1910","Alabama","010","Monroe","0990","Monroe",10
"G0101010","1910","Alabama","010","Montgomery","1010","Montgomery",25
"G0101030","1910","Alabama","010","Morgan","1030","Morgan",15
