GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G0100010","1890","Alabama","010","Autauga","0010","Autauga",5
"G0100030","1890","Alabama","010","Baldwin","0030","Baldwin",4
"G0100050","1890","Alabama","010","Barbour","0050","Barbour",5
"G0100070","1890","Alabama","010","Bibb","0070","Bibb",4
"G0100090","1890","Alabama","010","Blount","0090","Blount",6
"G0100110","1890","Alabama","010","Bullock","0110","Bullock",5
"G0100130","1890","Alabama","010","Butler","0130","Butler",5
"G0100150","1890","Alabama","010","Calhoun","0150","Calhoun",10
"G0100170","1890","Alabama","010","Chambers","0170","Chambers",7
"G0100190","1890","Alabama","010","Cherokee","0190","Cherokee",8
"G0100210","1890","Alabama","010","Chilton","0210","Chilton",4
"G0100230","1890","Alabama","010","Choctaw","0230","Choctaw",3
"G0100250","1890","Alabama","010","Clarke","0250","Clarke",3
"G0100270","1890","Alabama","010","Clay","0270","Clay",4
"G0100290","1890","Alabama","010","Cleburne","0290","Cleburne",5
"G0100310","1890","Alabama","010","Coffee","0310","Coffee",4
"G0100330","1890","Alabama","010","Colbert","0330","Colbert",8
"G0100350","1890","Alabama","010","Conecuh","0350","Conecuh",3
"G0100370","1890","Alabama","010","Coosa","0370","Coosa",4
"G0100390","1890","Alabama","010","Covington","0390","Covington",2
"G0100410","1890","Alabama","010","Crenshaw","0410","Crenshaw",4
"G0100430","1890","Alabama","010","Cullman","0430","Cullman",5
"G0100450","1890","Alabama","010","Dale","0450","Dale",5
"G0100470","1890","Alabama","010","Dallas","0470","Dallas",7
"G0100490","1890","Alabama","010","DeKalb","0490","Dekalb",6
"G0100510","1890","Alabama","010","Elmore","0510","Elmore",6
"G0100530","1890","Alabama","010","Escambia","0530","Escambia",4
"G0100550","1890","Alabama","010","Etowah","0550","Etowah",8
"G0100570","1890","Alabama","010","Fayette","0570","Fayette",3
"G0100590","1890","Alabama","010","Franklin","0590","Franklin",5
"G0100610","1890","Alabama","010","Geneva","0610","Geneva",3
"G0100630","1890","Alabama","010","Greene","0630","Greene",6
"G0100650","1890","Alabama","010","Hale","0650","Hale",10
"G0100670","1890","Alabama","010","Henry","0670","Henry",5
"G0100710","1890","Alabama","010","Jackson","0710","Jackson",7
"G0100730","1890","Alabama","010","Jefferson","0730","Jefferson",11
"G0100750","1890","Alabama","010","Lamar","0750","Lamar",4
"G0100770","1890","Alabama","010","Lauderdale","0770","Lauderdale",6
"G0100790","1890","Alabama","010","Lawrence","0790","Lawrence",7
"G0100810","1890","Alabama","010","Lee","0810","Lee",6
"G0100830","1890","Alabama","010","Limestone","0830","Limestone",9
"G0100850","1890","Alabama","010","Lowndes","0850","Lowndes",8
"G0100870","1890","Alabama","010","Macon","0870","Macon",5
"G0100890","1890","Alabama","010","Madison","0890","Madison",11
"G0100910","1890","Alabama","010","Marengo","0910","Marengo",7
"G0100930","1890","Alabama","010","Marion","0930","Marion",2
"G0100950","1890","Alabama","010","Marshall","0950","Marshall",6
"G0100970","1890","Alabama","010","Mobile","0970","Mobile",7
"G0100990","1890","Alabama","010","Monroe","0990","Monroe",3
"G0101010","1890","Alabama","010","Montgomery","1010","Montgomery",9
"G0101030","1890","Alabama","010","Morgan","1030","Morgan",7
"G0101050","1890","Alabama","010","Perry","1050","Perry",5
"G0101070","1890","Alabama","010","Pickens","1070","Pickens",5
"G0101090","1890","Alabama","010","Pike","1090","Pike",6
"G0101110","1890","Alabama","010","Randolph","1110","Randolph",4
"G0101130","1890","Alabama","010","Russell","1130","Russell",6
"G0101150","1890","Alabama","010","St Clair","1150","St Clair",6
"G0101170","1890","Alabama","010","Shelby","1170","Shelby",5
"G0101190","1890","Alabama","010","Sumter","1190","Sumter",5
"G0101210","1890","Alabama","010","Talladega","1210","Talladega",8
"G0101230","1890","Alabama","010","Tallapoosa","1230","Tallapoosa",6
"G0101250","1890","Alabama","010","Tuscaloosa","1250","Tuscaloosa",4
"G0101270","1890","Alabama","010","Walker","1270","Walker",4
"G0101290","1890","Alabama","010","Washington","1290","Washington",2
"G0101310","1890","Alabama","010","Wilcox","1310","Wilcox",6
"G0101330","1890","Alabama","010","Winston","1330","Winston",2
"G0500010","1890","Arkansas","050","Arkansas","0010","Arkansas",8
"G0500030","1890","Arkansas","050","Ashley","0030","Ashley",7
"G0500050","1890","Arkansas","050","Baxter","0050","Baxter",5
"G0500070","1890","Arkansas","050","Benton","0070","Benton",12
"G0500090","1890","Arkansas","050","Boone","0090","Boone",8
"G0500110","1890","Arkansas","050","Bradley","0110","Bradley",4
"G0500130","1890","Arkansas","050","Calhoun","0130","Calhoun",3
"G0500150","1890","Arkansas","050","Carroll","0150","Carroll",7
"G0500170","1890","Arkansas","050","Chicot","0170","Chicot",12
"G0500190","1890","Arkansas","050","Clark","0190","Clark",6
"G0500210","1890","Arkansas","050","Clay","0210","Clay",8
"G0500230","1890","Arkansas","050","Cleburne","0230","Cleburne",5
"G0500250","1890","Arkansas","050","Cleveland","0250","Cleveland",4
"G0500270","1890","Arkansas","050","Columbia","0270","Columbia",4
"G0500290","1890","Arkansas","050","Conway","0290","Conway",10
"G0500310","1890","Arkansas","050","Craighead","0310","Craighead",8
"G0500330","1890","Arkansas","050","Crawford","0330","Crawford",13
"G0500350","1890","Arkansas","050","Crittenden","0350","Crittenden",15
"G0500370","1890","Arkansas","050","Cross","0370","Cross",6
"G0500390","1890","Arkansas","050","Dallas","0390","Dallas",3
"G0500410","1890","Arkansas","050","Desha","0410","Desha",14
"G0500430","1890","Arkansas","050","Drew","0430","Drew",5
"G0500450","1890","Arkansas","050","Faulkner","0450","Faulkner",6
"G0500470","1890","Arkansas","050","Franklin","0470","Franklin",10
"G0500490","1890","Arkansas","050","Fulton","0490","Fulton",5
"G0500510","1890","Arkansas","050","Garland","0510","Garland",8
"G0500530","1890","Arkansas","050","Grant","0530","Grant",4
"G0500550","1890","Arkansas","050","Greene","0550","Greene",8
"G0500570","1890","Arkansas","050","Hempstead","0570","Hempstead",8
"G0500590","1890","Arkansas","050","Hot Spring","0590","Hot Spring",5
"G0500610","1890","Arkansas","050","Howard","0610","Howard",6
"G0500630","1890","Arkansas","050","Independence","0630","Independence",8
"G0500650","1890","Arkansas","050","Izard","0650","Izard",3
"G0500670","1890","Arkansas","050","Jackson","0670","Jackson",11
"G0500690","1890","Arkansas","050","Jefferson","0690","Jefferson",15
"G0500710","1890","Arkansas","050","Johnson","0710","Johnson",9
"G0500730","1890","Arkansas","050","Lafayette","0730","Lafayette",6
"G0500750","1890","Arkansas","050","Lawrence","0750","Lawrence",10
"G0500770","1890","Arkansas","050","Lee","0770","Lee",13
"G0500790","1890","Arkansas","050","Lincoln","0790","Lincoln",8
"G0500810","1890","Arkansas","050","Little River","0810","Little River",6
"G0500830","1890","Arkansas","050","Logan","0830","Logan",10
"G0500850","1890","Arkansas","050","Lonoke","0850","Lonoke",10
"G0500870","1890","Arkansas","050","Madison","0870","Madison",6
"G0500890","1890","Arkansas","050","Marion","0890","Marion",5
"G0500910","1890","Arkansas","050","Miller","0910","Miller",8
"G0500930","1890","Arkansas","050","Mississippi","0930","Mississippi",16
"G0500950","1890","Arkansas","050","Monroe","0950","Monroe",17
"G0500970","1890","Arkansas","050","Montgomery","0970","Montgomery",4
"G0500990","1890","Arkansas","050","Nevada","0990","Nevada",5
"G0501010","1890","Arkansas","050","Newton","1010","Newton",4
"G0501030","1890","Arkansas","050","Ouachita","1030","Ouachita",4
"G0501050","1890","Arkansas","050","Perry","1050","Perry",7
"G0501070","1890","Arkansas","050","Phillips","1070","Phillips",16
"G0501090","1890","Arkansas","050","Pike","1090","Pike",4
"G0501110","1890","Arkansas","050","Poinsett","1110","Poinsett",7
"G0501130","1890","Arkansas","050","Polk","1130","Polk",4
"G0501150","1890","Arkansas","050","Pope","1150","Pope",8
"G0501170","1890","Arkansas","050","Prairie","1170","Prairie",8
"G0501190","1890","Arkansas","050","Pulaski","1190","Pulaski",16
