GISJOIN,YEAR,STATE,STATEA,COUNTY,COUNTYA,AREANAME,AE7001
"G0100010","1860","Alabama","010","Autauga","0010","Autauga",7
"G0100030","1860","Alabama","010","Baldwin","0030","Baldwin",6
"G0100050","1860","Alabama","010","Barbour","0050","Barbour",9
"G0100070","1860","Alabama","010","Bibb","0070","Bibb",5
"G0100090","1860","Alabama","010","Blount","0090","Blount",4
"G0100130","1860","Alabama","010","Butler","0130","Butler",7
"G0100150","1860","Alabama","010","Calhoun","0150","Calhoun",7
"G0100170","1860","Alabama","010","Chambers","0170","Chambers",7
"G0100190","1860","Alabama","010","Cherokee","0190","Cherokee",9
"G0100230","1860","Alabama","010","Choctaw","0230","Choctaw",8
"G0100250","1860","Alabama","010","Clarke","0250","Clarke",6
"G0100310","1860","Alabama","010","Coffee","0310","Coffee",4
"G0100350","1860","Alabama","010","Conecuh","0350","Conecuh",4
"G0100370","1860","Alabama","010","Coosa","0370","Coosa",4
"G0100390","1860","Alabama","010","Covington","0390","Covington",3
"G0100450","1860","Alabama","010","Dale","0450","Dale",4
"G0100470","1860","Alabama","010","Dallas","0470","Dallas",17
"G0100490","1860","Alabama","010","DeKalb","0490","Dekalb",7
"G0100570","1860","Alabama","010","Fayette","0570","Fayette",2
"G0100590","1860","Alabama","010","Franklin","0590","Franklin",10
"G0100630","1860","Alabama","010","Greene","0630","Greene",16
"G0100670","1860","Alabama","010","Henry","0670","Henry",6
"G0100710","1860","Alabama","010","Jackson","0710","Jackson",9
"G0100730","1860","Alabama","010","Jefferson","0730","Jefferson",4
"G0100770","1860","Alabama","010","Lauderdale","0770","Lauderdale",11
"G0100790","1860","Alabama","010","Lawrence","0790","Lawrence",9
"G0100830","1860","Alabama","010","Limestone","0830","Limestone",13
"G0100850","1860","Alabama","010","Lowndes","0850","Lowndes",18
"G0100870","1860","Alabama","010","Macon","0870","Macon",13
"G0100890","1860","Alabama","010","Madison","0890","Madison",15
"G0100910","1860","Alabama","010","Marengo","0910","Marengo",18
"G0100930","1860","Alabama","010","Marion","0930","Marion",2
"G0100950","1860","Alabama","010","Marshall","0950","Marshall",8
"G0100970","1860","Alabama","010","Mobile","0970","Mobile",8
"G0100990","1860","Alabama","010","Monroe","0990","Monroe",8
"G0101010","1860","Alabama","010","Montgomery","1010","Montgomery",18
"G0101030","1860","Alabama","010","Morgan","1030","Morgan",6
"G0101050","1860","Alabama","010","Perry","1050","Perry",17
"G0101070","1860","Alabama","010","Pickens","1070","Pickens",8
"G0101090","1860","Alabama","010","Pike","1090","Pike",7
"G0101110","1860","Alabama","010","Randolph","1110","Randolph",4
"G0101130","1860","Alabama","010","Russell","1130","Russell",11
"G0101150","1860","Alabama","010","St Clair","1150","St Clair",5
"G0101170","1860","Alabama","010","Shelby","1170","Shelby",5
"G0101190","1860","Alabama","010","Sumter","1190","Sumter",13
"G0101210","1860","Alabama","010","Talladega","1210","Talladega",7
"G0101230","1860","Alabama","010","Tallapoosa","1230","Tallapoosa",7
"G0101250","1860","Alabama","010","Tuscaloosa","1250","Tuscaloosa",10
"G0101270","1860","Alabama","010","Walker","1270","Walker",3
"G0101290","1860","Alabama","010","Washington","1290","Washington",6
"G0101310","1860","Alabama","010","Wilcox","1310","Wilcox",14
"G0101330","1860","Alabama","010","Winston","1330","Winston",3
"G0500010","1860","Arkansas","050","Arkansas","0010","Arkansas",16
"G0500030","1860","Arkansas","050","Ashley","0030","Ashley",10
"G0500070","1860","Arkansas","050","Benton","0070","Benton",7
"G0500110","1860","Arkansas","050","Bradley","0110","Bradley",8
"G0500130","1860","Arkansas","050","Calhoun","0130","Calhoun",7
"G0500150","1860","Arkansas","050","Carroll","0150","Carroll",8
"G0500170","1860","Arkansas","050","Chicot","0170","Chicot",20
"G0500190","1860","Arkansas","050","Clark","0190","Clark",6
"G0500270","1860","Arkansas","050","Columbia","0270","Columbia",5
"G0500290","1860","Arkansas","050","Conway","0290","Conway",6
"G0500310","1860","Arkansas","050","Craighead","0310","Craighead",6
"G0500330","1860","Arkansas","050","Crawford","0330","Crawford",10
"G0500350","1860","Arkansas","050","Crittenden","0350","Crittenden",22
"G0500390","1860","Arkansas","050","Dallas","0390","Dallas",6
"G0500410","1860","Arkansas","050","Desha","0410","Desha",24
"G0500430","1860","Arkansas","050","Drew","0430","Drew",3
"G0500470","1860","Arkansas","050","Franklin","0470","Franklin",8
"G0500490","1860","Arkansas","050","Fulton","0490","Fulton",4
"G0500550","1860","Arkansas","050","Greene","0550","Greene",5
"G0500570","1860","Arkansas","050","Hempstead","0570","Hempstead",11
"G0500590","1860","Arkansas","050","Hot Spring","0590","Hot Spring",5
"G0500630","1860","Arkansas","050","Independence","0630","Independence",7
"G0500650","1860","Arkansas","050","Izard","0650","Izard",4
"G0500670","1860","Arkansas","050","Jackson","0670","Jackson",14
"G0500690","1860","Arkansas","050","Jefferson","0690","Jefferson",23
"G0500710","1860","Arkansas","050","Johnson","0710","Johnson",6
"G0500730","1860","Arkansas","050","Lafayette","0730","Lafayette",13
"G0500750","1860","Arkansas","050","Lawrence","0750","Lawrence",5
"G0500870","1860","Arkansas","050","Madison","0870","Madison",8
"G0500890","1860","Arkansas","050","Marion","0890","Marion",6
"G0500930","1860","Arkansas","050","Mississippi","0930","Mississippi",10
"G0500950","1860","Arkansas","050","Monroe","0950","Monroe",12
"G0500970","1860","Arkansas","050","Montgomery","0970","Montgomery",9
"G0501010","1860","Arkansas","050","Newton","1010","Newton",6
"G0501030","1860","Arkansas","050","Ouachita","1030","Ouachita",6
"G0501050","1860","Arkansas","050","Perry","1050","Perry",8
"G0501070","1860","Arkansas","050","Phillips","1070","Phillips",22
"G0501090","1860","Arkansas","050","Pike","1090","Pike",6
"G0501110","1860","Arkansas","050","Poinsett","1110","Poinsett",10
"G0501130","1860","Arkansas","050","Polk","1130","Polk",9
